name_key,name,base_wrc_vs_r,base_wrc_vs_l
yidel diaz,Yidel Diaz,2.8701083,7.86013301
jay beshears,Jay Beshears,43.6110896,49.0643614
sean mclain,Sean McLain,52.5857487,58.0397112
cristofer torin,Cristofer Torin,69.089831,75.8257126
camilo diaz,Camilo Diaz,-1.2258133,4.37438708
tsungche cheng,Tsung-Che Cheng,67.6982969,46.4580114
nick lucky,Nick Lucky,34.7386493,10.6800099
jayce easley,Jayce Easley,38.3743151,44.174751
kevin dume,Kevin Dume,9.80853173,-13.280406
jose ochoa,Jose Ochoa,6.29000286,11.0237537
nick sogard,Nick Sogard,84.2888298,87.0326251
colin houck,Colin Houck,31.763103,38.4513489
nick morabito,Nick Morabito,78.6673243,86.3752732
ivan cespedes,Ivan Cespedes,6.56904383,11.9199636
victor caratini,Victor Caratini,105.951615,95.2911904
luis ogando,Luis Ogando,14.1695828,19.0505346
tim locastro,Tim Locastro,75.8828054,80.5889712
caleb pendleton,Caleb Pendleton,25.0847498,31.8310274
logun clark,Logun Clark,20.5913617,26.3795212
daniel gaitor,Daniel Gaitor,3.15233852,5.46753936
braedon karpathios,Braedon Karpathios,84.4145432,53.6914474
jan mercado,Jan Mercado,55.7345927,64.4408229
cole fontenelle,Cole Fontenelle,46.2339985,48.5835887
chris taylor,Chris Taylor,72.7444106,76.6273277
yohandy morales,Yohandy Morales,77.7258897,86.460923
matt oneill,Matt O'Neill,52.0026375,60.4665506
geraldi diaz,Geraldi Diaz,37.4259615,12.9890073
steven cruz,Steven Cruz,17.5535917,17.156354
esteban romero,Esteban Romero,24.9016116,4.66958496
david ortiz,David Ortiz,0.48723078,-20.908662
dominic fletcher,Dominic Fletcher,85.8161782,61.045042
kazuma okamoto,Kazuma Okamoto,108.790253,117.145218
billy amick,Billy Amick,53.5627336,60.4103167
david carrera,David Carrera,9.14058266,15.4388905
danny de andrade,Danny De Andrade,47.1839333,52.3238164
yhoan escalona,Yhoan Escalona,-2.4917912,2.1629712
daz cameron,Daz Cameron,84.7260325,94.7993401
caleb ricketts,Caleb Ricketts,76.1122004,48.1274375
patrick wisdom,Patrick Wisdom,86.7046343,97.6894509
carlos perez,Carlos Perez,81.8011158,95.3757095
rhys hoskins,Rhys Hoskins,99.2358618,115.098422
griffin lockwoodpowell,Griffin Lockwood-Powell,67.6285266,75.8549431
cristhian vaquero,Cristhian Vaquero,36.9132637,38.5588202
tanner murray,Tanner Murray,65.1315728,72.3248407
peyton burdick,Peyton Burdick,57.8358621,72.2200416
walking cabrera,Walking Cabrera,49.3071434,56.4290339
jackson loftin,Jackson Loftin,35.8041039,41.0608832
qyshawn legito,Qyshawn Legito,-4.5717605,0.9342448
douglas hodoi,Douglas HodoI,67.1017729,75.3378716
bryce harper,Bryce Harper,144.447433,118.843877
kevin villavicencio,Kevin Villavicencio,35.4779836,39.9779592
