name_key,name,fld_proj_pg,bsr_proj_pg
nick madrigal,Nick Madrigal,0.0724025,-0.0092063
bryce teodosio,Bryce Teodosio,0.07132,0.01298789
addison barger,Addison Barger,0.05814816,-0.0043272
joshua kurodagrauer,Joshua Kuroda-Grauer,0.0563614,-0.0119756
michael siani,Michael Siani,0.05342838,0.01017827
jared oliva,Jared Oliva,0.05322378,0.03479649
michael stefanic,Michael Stefanic,0.052942,-0.0134794
vidal brujan,Vidal Brujan,0.05024079,-0.0200094
sean murphy,Sean Murphy,0.05016788,-0.0041905
jorge barrosa,Jorge Barrosa,0.04954398,-0.00387
brian serven,Brian Serven,0.04816174,-0.0018256
will wilson,Will Wilson,0.04813114,-0.00422
ryan ward,Ryan Ward,0.04726177,-0.003202
oliver dunn,Oliver Dunn,0.04710872,0.00468626
ryan bliss,Ryan Bliss,0.04512162,-0.0062628
rikuu nishida,Rikuu Nishida,0.0438308,-0.0006054
nate eaton,Nate Eaton,0.04366648,0.01334904
braden montgomery,Braden Montgomery,0.042825,-0.0123442
pedro ramirez,Pedro Ramirez,0.04234243,0.00378743
ivan johnson,Ivan Johnson,0.04232313,0.00314813
brett harris,Brett Harris,0.04113811,-0.0036763
andres chaparro,Andres Chaparro,0.04093099,-0.0021067
parker meadows,Parker Meadows,0.04036417,0.0182
sung mun song,Sung Mun Song,0.04032022,0.02
petey halpin,Petey Halpin,0.03959137,0.01273756
denzel clarke,Denzel Clarke,0.03943208,0.01241415
ryan ritter,Ryan Ritter,0.03878575,-0.0021018
sam huff,Sam Huff,0.03873,-0.0033855
ali sanchez,Ali Sanchez,0.03827727,-0.0046423
luis lara,Luis Lara,0.03776826,-0.0006859
buddy kennedy,Buddy Kennedy,0.03635682,-0.00568
ben malgeri,Ben Malgeri,0.03578349,-0.0077028
romy gonzalez,Romy Gonzalez,0.03500302,-0.0045346
tyler tolbert,Tyler Tolbert,0.03440013,0.02785553
alan roden,Alan Roden,0.03424649,3.63e-05
jacob gonzalez,Jacob Gonzalez,0.03267095,-0.0016033
deyvison de los santos,Deyvison De Los Santos,0.03244949,-0.0034719
bryce johnson,Bryce Johnson,0.03177943,0.01283371
luis matos,Luis Matos,0.03117644,0.00472942
jordan lawlar,Jordan Lawlar,0.03075659,0.0263
tanner murray,Tanner Murray,0.02971132,-0.005258
brewer hicklen,Brewer Hicklen,0.02900416,0.02109474
jose azocar,Jose Azocar,0.02885156,0.00790051
jonatan clase,Jonatan Clase,0.0288014,0.0143
rodolfo duran,Rodolfo Duran,0.02721706,-0.0010682
jonah cox,Jonah Cox,0.02717891,0.02723125
hayden senger,Hayden Senger,0.0269,-0.0049271
max kepler,Max Kepler,0.02676511,-0.0003831
gabriel rincones,Gabriel Rincones,0.02639948,-0.0005439
blaze jordan,Blaze Jordan,0.02630463,-0.0042458
miles mastrobuoni,Miles Mastrobuoni,0.02587689,0.00314096
maverick handley,Maverick Handley,0.02541045,-0.0075913
sam haggerty,Sam Haggerty,0.02334648,0.01212227
travis darnaud,Travis d'Arnaud,0.02309926,-0.0037022
drew cavanaugh,Drew Cavanaugh,0.02301864,-0.0042901
jase bowen,Jase Bowen,0.02289288,0.01588455
jair camargo,Jair Camargo,0.02172275,-0.0038385
lujames groover,LuJames Groover,0.0206683,-0.0074987
davis wendzel,Davis Wendzel,0.01992441,-0.00443
jace jung,Jace Jung,0.01898038,-0.0069
jeferson quero,Jeferson Quero,0.0188794,-0.0005723
shay whitcomb,Shay Whitcomb,0.01819429,0.00256723
tsungche cheng,Tsung-Che Cheng,0.01674118,-0.0250108
junior perez,Junior Perez,0.01598783,-0.0052972
jack brannigan,Jack Brannigan,0.01490191,0.00777477
chad stevens,Chad Stevens,0.01448259,-0.0034345
christian koss,Christian Koss,0.01367237,-0.0033695
griffin conine,Griffin Conine,0.01358397,0.00179386
abimelec ortiz,Abimelec Ortiz,0.01290069,-0.0089999
alika williams,Alika Williams,0.01196275,-0.0109
daniel johnson,Daniel Johnson,0.01172234,-0.0016166
esmerlyn valdez,Esmerlyn Valdez,0.0114,-0.0135705
justin dean,Justin Dean,0.01121659,0.00745
nick solak,Nick Solak,0.01107189,-0.002321
kahlil watson,Kahlil Watson,0.01096098,0.02010328
